"Toyota AE86 legend lives on, added to Heritage Parts Program","Autoblog","Filed under:					    Toyota,Performance,ClassicsContinue reading Toyota AE86 legend lives on, added to Heritage Parts ProgramToyota AE86 legend lives on, added to Heritage Parts Program originally appeared on Autoblog on Mon, 1 Nov 2021 17:22:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 21:22:00","Cars","https://www.autoblog.com/2021/11/01/toyota-ae86-heritage-parts-program/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","65d506db93bc49a8843a1ba7be711dda"
"Volvo begins rolling out over-the-air software updates in the U.S.","Autoblog","Filed under:					    Volvo,Technology,Infotainment,CrossoverContinue reading Volvo begins rolling out over-the-air software updates in the U.S.Volvo begins rolling out over-the-air software updates in the U.S. originally appeared on Autoblog on Mon, 1 Nov 2021 15:02:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 19:02:00","Cars","https://www.autoblog.com/2021/11/01/volvo-ota-over-the-air-updates-c40-xc40-xc60/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","5abcee930696669c204324a8af0098a1"
"Mercedes redesigned the S-Class for 2021, and you can win one here","Autoblog","Filed under:					    Mercedes-Benz,CommerceContinue reading Mercedes redesigned the S-Class for 2021, and you can win one hereMercedes redesigned the S-Class for 2021, and you can win one here originally appeared on Autoblog on Mon, 1 Nov 2021 14:48:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 18:48:00","Cars","https://www.autoblog.com/2021/11/01/2021-mercedes-benz-s580-4matic-omaze/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","59450bf1774825adf79a3172aa35aac3"
"Ford previews next-generation Ranger ahead of November 24 unveiling","Autoblog","Filed under:					    Design/Style,Ford,Truck,Off-RoadContinue reading Ford previews next-generation Ranger ahead of November 24 unveilingFord previews next-generation Ranger ahead of November 24 unveiling originally appeared on Autoblog on Mon, 1 Nov 2021 13:23:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 17:23:00","Cars","https://www.autoblog.com/2021/11/01/ford-ranger-next-generation-preview-video/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","25ed33735bbfe40c64368b159c19df17"
"GM opens official investigation into C8 Corvette transmission leaks","Autoblog","Filed under:					    Government/Legal,Chevrolet,GMC,Convertible,Coupe,Luxury,PerformanceContinue reading GM opens official investigation into C8 Corvette transmission leaksGM opens official investigation into C8 Corvette transmission leaks originally appeared on Autoblog on Mon, 1 Nov 2021 12:47:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 16:47:00","Cars","https://www.autoblog.com/2021/11/01/gm-opens-official-investigation-into-c8-corvette-transmission-leaks/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","0dd826e4d41a4ad2e62ebe782814254e"
"Elon Musk wants proof his billions could help world hunger","Autoblog","Filed under:					    Earnings/Financials,Weird Car NewsContinue reading Elon Musk wants proof his billions could help world hungerElon Musk wants proof his billions could help world hunger originally appeared on Autoblog on Mon, 1 Nov 2021 12:09:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 16:09:00","Cars","https://www.autoblog.com/2021/11/01/elon-musk-hunger-un-world-food-program/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","a092e2b8b5dcbf72949adc789c7efd30"
"2022 VW Jetta starts at $21,190, sporty GLI at $31,990","Autoblog","Filed under:					    Marketing/Advertising,Volkswagen,Performance,SedanContinue reading 2022 VW Jetta starts at $21,190, sporty GLI at $31,9902022 VW Jetta starts at $21,190, sporty GLI at $31,990 originally appeared on Autoblog on Mon, 1 Nov 2021 11:15:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 15:15:00","Cars","https://www.autoblog.com/2021/11/01/2022-vw-jetta-price-increase/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","634d3237646bb0de212a07c713fd4529"
"Audi issues backup camera recall for virtually its entire 2022 lineup","Autoblog","Filed under:					    Recalls,Audi,Safety,Luxury,PerformanceContinue reading Audi issues backup camera recall for virtually its entire 2022 lineupAudi issues backup camera recall for virtually its entire 2022 lineup originally appeared on Autoblog on Mon, 1 Nov 2021 10:51:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 14:51:00","Cars","https://www.autoblog.com/2021/11/01/audi-2022-recall-backup-camera/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","5ee531d7a69083fd2d8bf5d71fcd823a"
"2022 Ford F-150 starts at $31,335, a $350 increase","Autoblog","Filed under:					    Ford,Car Buying,TruckContinue reading 2022 Ford F-150 starts at $31,335, a $350 increase2022 Ford F-150 starts at $31,335, a $350 increase originally appeared on Autoblog on Mon, 1 Nov 2021 10:35:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 14:35:00","Cars","https://www.autoblog.com/2021/11/01/ford-f-150-pickup-truck-2022-price-increases/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","5c829775b87a04471b93c9a476c5e4c0"
"Chevy helps convert a 1957 Chevy to electric power for SEMA","Autoblog","Filed under:					    Aftermarket,Green,SEMA Show,Chevrolet,Coupe,Electric,ClassicsContinue reading Chevy helps convert a 1957 Chevy to electric power for SEMAChevy helps convert a 1957 Chevy to electric power for SEMA originally appeared on Autoblog on Mon, 1 Nov 2021 10:19:00 EDT.  Please see our terms for use of feeds.Permalink | 						Email this | 					    Comments","2021-11-01 14:19:00","Cars","https://www.autoblog.com/2021/11/01/sema-1957-chevy-hot-rod-ev-electric-conversion/","52accd3d2b5098bd27652dd66af321ce30e6373897879e917d47ec1334fbfff6","767f35673bc4c05013e58e22c348faad"
